
LIVE RUNTIME
Ctrl+C to quit | type 'help' for commands
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
t=1.00s
ASSEMBLY ID                                                    ACT         FR
cortex:GRANULE_CELLS:3                                      3.5261    10.1284
cortex:INTERNEURONS:0                                       5.1926    15.1277
cortex:PURKINJE_CELLS:0                                     6.0000    17.5500
deep_nuclei:OUTPUT_NEURONS:0                                6.0000    17.5500
dentate_gyrus:GRANULE_CELLS:0                               0.1831     0.0994
dentate_gyrus:GRANULE_CELLS:1                               0.1832     0.0996
dentate_gyrus:INTERNEURONS:0                                1.8165     4.9995
gpe:OUTPUT_NEURONS:0                                        5.1498    14.9993
gpi:OUTPUT_NEURONS:0                                        6.0000    17.5500
insula:INTERNEURONS:0                                       2.1498     5.9994
insula:L2_3_PYRAMIDAL:0                                     0.3168     0.5005
insula:L5_PYRAMIDAL:0                                       0.4501     0.9003
locus_coeruleus:NORADRENERGIC_NEURONS:0                     1.4832     3.9995
m1:INTERNEURONS:0                                           2.1500     5.9999
m1:L2_3_PYRAMIDAL:0                                         0.3165     0.4995
m1:L5_PYRAMIDAL:0                                           0.4833     1.0000
md:RELAY_NEURONS:0                                          0.8165     1.9996
mea:PRINCIPAL_NEURONS:0                                     0.4834     1.0002
medulla:AUTONOMIC_NEURONS:0                                 0.4834     1.0002
pfc:INTERNEURONS:0                                          2.6501     7.5002
pfc:L2_3_PYRAMIDAL:0                                        0.2833     0.4000
pfc:L2_3_PYRAMIDAL:1                                        0.2834     0.4002
pfc:L5_PYRAMIDAL:0                                          0.4165     0.7996
pons:MIXED_NEURONS:0                                        0.6498     1.4995
pulvinar:RELAY_NEURONS:0                                    1.1498     2.9994
pulvinar:RELAY_NEURONS:1                                    1.1496     2.9989
raphe:SEROTONERGIC_NEURONS:0                                0.9836     2.5009
s1:INTERNEURONS:0                                           2.4832     6.9995
s1:L2_3_PYRAMIDAL:0                                         0.3834     0.7002
s1:L2_3_PYRAMIDAL:1                                         0.3831     0.6992
s1:L4_EXCITATORY:0                                          0.5502     1.2006
s1:L4_EXCITATORY:1                                          0.5499     1.1997
snc:DOPAMINERGIC_NEURONS:0                                  1.1500     3.0000
stn:EXCITATORY_NEURONS:0                                    3.4833     9.9999
striatum:D1_MSN:0                                           0.2505     0.3014
striatum:D2_MSN:0                                           0.2501     0.3003
striatum:INTERNEURONS:0                                     2.8164     7.9992
subiculum:PYRAMIDAL_CELLS:0                                 0.5875     1.3126
v1:INTERNEURONS:0                                           2.8166     7.9998
v1:L2_3_PYRAMIDAL:0                                         0.4164     0.7991
v1:L2_3_PYRAMIDAL:1                                         0.4167     0.8001
v1:L4_EXCITATORY:0                                          0.4834     1.0003
v1:L4_EXCITATORY:1                                          0.4832     0.9996
v1:L5_PYRAMIDAL:0                                           0.5500     1.1999
vpl:INTERNEURONS:0                                          3.4832     9.9996
vpl:RELAY_NEURONS:0                                         1.8167     5.0000
vpm:RELAY_NEURONS:0                                         1.9830     5.4991
vta:DOPAMINERGIC_NEURONS:0                                  1.1503     3.0008
vta:GABA_INTERNEURONS:0                                     2.8164     7.9992
--------------------------------------------------------------------------------
last: Ready.
> 
Stopped.
