step,time,channel,effective_output,inst_dominance,smooth_dominance,winner,delta
101,1770505964.991006,D1,0.675442172,0.500198902,0.371263728,D1,0.000287792
101,1770505964.991006,D2,0.674904999,0.499801098,0.370975936,D1,0.000287792
102,1770505965.007048,D1,0.675727475,0.500060120,0.372981013,D1,0.000285558
102,1770505965.007048,D2,0.675564997,0.499939880,0.372695455,D1,0.000285558
103,1770505965.023240,D1,0.676388147,0.500129084,0.374676321,D1,0.000285193
103,1770505965.023240,D2,0.676038993,0.499870916,0.374391128,D1,0.000285193
104,1770505965.039396,D1,0.676851949,0.500080892,0.376348382,D1,0.000283547
104,1770505965.039396,D2,0.676632977,0.499919108,0.376064834,D1,0.000283547
105,1770505965.055576,D1,0.677308329,0.500093579,0.377998317,D1,0.000282262
105,1770505965.055576,D2,0.677054850,0.499906421,0.377716055,D1,0.000282262
106,1770505965.071726,D1,0.677825833,0.500025505,0.379625347,D1,0.000279179
106,1770505965.071726,D2,0.677756685,0.499974495,0.379346168,D1,0.000279179
107,1770505965.087950,D1,0.678186457,0.499934214,0.381229465,D1,0.000273702
107,1770505965.087950,D2,0.678364942,0.500065786,0.380955763,D1,0.000273702
108,1770505965.104116,D1,0.678558520,0.499899083,0.382811726,D1,0.000267362
108,1770505965.104116,D2,0.678832489,0.500100917,0.382544365,D1,0.000267362
109,1770505965.120324,D1,0.679262016,0.499968824,0.384373821,D1,0.000262966
109,1770505965.120324,D2,0.679346729,0.500031176,0.384110856,D1,0.000262966
110,1770505965.136681,D1,0.679807792,0.500052259,0.385916200,D1,0.000260853
110,1770505965.136681,D2,0.679665703,0.499947741,0.385655347,D1,0.000260853
111,1770505965.154742,D1,0.680507857,0.500116580,0.387438872,D1,0.000260484
111,1770505965.154742,D2,0.680190596,0.499883420,0.387178388,D1,0.000260484
112,1770505965.170819,D1,0.680594741,0.499995870,0.388939632,D1,0.000256900
112,1770505965.170819,D2,0.680605985,0.500004130,0.388682732,D1,0.000256900
113,1770505965.186872,D1,0.680894552,0.499983926,0.390420223,D1,0.000253046
113,1770505965.186872,D2,0.680938333,0.500016074,0.390167176,D1,0.000253046
114,1770505965.202959,D1,0.681583295,0.500094566,0.391882547,D1,0.000252194
114,1770505965.202959,D2,0.681325526,0.499905434,0.391630353,D1,0.000252194
115,1770505965.219020,D1,0.682200081,0.500117264,0.393325677,D1,0.000251959
115,1770505965.219020,D2,0.681880167,0.499882736,0.393073718,D1,0.000251959
116,1770505965.235091,D1,0.682445079,0.499997934,0.394747973,D1,0.000248544
116,1770505965.235091,D2,0.682450719,0.500002066,0.394499429,D1,0.000248544
117,1770505965.251343,D1,0.682874495,0.500059703,0.396152130,D1,0.000246822
117,1770505965.251343,D2,0.682711436,0.499940297,0.395905308,D1,0.000246822
118,1770505965.267411,D1,0.683286662,0.500079187,0.397537824,D1,0.000245643
118,1770505965.267411,D2,0.683070266,0.499920813,0.397292181,D1,0.000245643
119,1770505965.283631,D1,0.683859304,0.500013630,0.398904168,D1,0.000242731
119,1770505965.283631,D2,0.683822022,0.499986370,0.398661437,D1,0.000242731
120,1770505965.299867,D1,0.684283617,0.499897696,0.400250748,D1,0.000236767
120,1770505965.299867,D2,0.684563693,0.500102304,0.400013982,D1,0.000236767
121,1770505965.318157,D1,0.684676928,0.499775761,0.401577749,D1,0.000227630
121,1770505965.318157,D2,0.685291328,0.500224239,0.401350118,D1,0.000227630
122,1770505965.334295,D1,0.684990486,0.499711037,0.402886192,D1,0.000216889
122,1770505965.334295,D2,0.685782690,0.500288963,0.402669303,D1,0.000216889
123,1770505965.350432,D1,0.684997197,0.499418621,0.404173291,D1,0.000198494
123,1770505965.350432,D2,0.686592022,0.500581379,0.403974797,D1,0.000198494
124,1770505965.366674,D1,0.685689912,0.499530081,0.405444715,D1,0.000183316
124,1770505965.366674,D2,0.686980001,0.500469919,0.405261399,D1,0.000183316
125,1770505965.382938,D1,0.686075042,0.499486406,0.406698605,D1,0.000167176
125,1770505965.382938,D2,0.687485947,0.500513594,0.406531428,D1,0.000167176
126,1770505965.399156,D1,0.686642039,0.499506523,0.407936043,D1,0.000151788
126,1770505965.399156,D2,0.687998747,0.500493477,0.407784256,D1,0.000151788
127,1770505965.415441,D1,0.687347682,0.499610634,0.409158371,D1,0.000139381
127,1770505965.415441,D2,0.688419035,0.500389366,0.409018990,D1,0.000139381
128,1770505965.431693,D1,0.687673063,0.499502147,0.410362955,D1,0.000124246
128,1770505965.431693,D2,0.689043869,0.500497853,0.410238709,D1,0.000124246
129,1770505965.448611,D1,0.688214043,0.499531930,0.411551875,D1,0.000110108
129,1770505965.448611,D2,0.689503780,0.500468070,0.411441767,D1,0.000110108
130,1770505965.464510,D1,0.688525377,0.499459664,0.412723979,D1,0.000094231
130,1770505965.464510,D2,0.690015127,0.500540336,0.412629748,D1,0.000094231
131,1770505965.482239,D1,0.688952494,0.499353880,0.413879044,D1,0.000075745
131,1770505965.482239,D2,0.690735380,0.500646120,0.413803299,D1,0.000075745
132,1770505965.498322,D1,0.689368008,0.499463096,0.415020165,D1,0.000060417
132,1770505965.498322,D2,0.690850097,0.500536904,0.414959747,D1,0.000060417
133,1770505965.514357,D1,0.689807786,0.499447258,0.416145859,D1,0.000044872
133,1770505965.514357,D2,0.691334617,0.500552742,0.416100987,D1,0.000044872
134,1770505965.530387,D1,0.690207323,0.499331857,0.417255006,D1,0.000026456
134,1770505965.530387,D2,0.692054420,0.500668143,0.417228549,D1,0.000026456
135,1770505965.546254,D1,0.690622310,0.499452344,0.418350970,D1,0.000011500
135,1770505965.546254,D2,0.692136863,0.500547656,0.418339471,D1,0.000011500
136,1770505965.562175,D1,0.690893145,0.499428092,0.419431999,D2,0.000003905
136,1770505965.562175,D2,0.692475464,0.500571908,0.419435903,D2,0.000003905
137,1770505965.578108,D1,0.691556529,0.499431801,0.420498663,D2,0.000019005
137,1770505965.578108,D2,0.693130085,0.500568199,0.420517667,D2,0.000019005
138,1770505965.593975,D1,0.691833930,0.499329598,0.421549742,D2,0.000036629
138,1770505965.593975,D2,0.693691650,0.500670402,0.421586370,D2,0.000036629
139,1770505965.609858,D1,0.692348703,0.499373454,0.422587391,D2,0.000052848
139,1770505965.609858,D2,0.694086034,0.500626546,0.422640239,D2,0.000052848
140,1770505965.625761,D1,0.692723221,0.499347233,0.423610856,D2,0.000069551
140,1770505965.625761,D2,0.694534334,0.500652767,0.423680406,D2,0.000069551
141,1770505965.643651,D1,0.693342763,0.499373444,0.424621024,D2,0.000085331
141,1770505965.643651,D2,0.695082616,0.500626556,0.424706355,D2,0.000085331
142,1770505965.659564,D1,0.693771642,0.499387630,0.425617912,D2,0.000100524
142,1770505965.659564,D2,0.695473106,0.500612370,0.425718435,D2,0.000100524
143,1770505965.675617,D1,0.694419706,0.499366777,0.426601230,D2,0.000116069
143,1770505965.675617,D2,0.696180828,0.500633223,0.426717299,D2,0.000116069
144,1770505965.691656,D1,0.694687449,0.499267074,0.427570108,D2,0.000134066
144,1770505965.691656,D2,0.696727056,0.500732926,0.427704174,D2,0.000134066
145,1770505965.707776,D1,0.695153931,0.499273096,0.428526148,D2,0.000151663
145,1770505965.707776,D2,0.697178116,0.500726904,0.428677811,D2,0.000151663
146,1770505965.723720,D1,0.695710975,0.499295841,0.429469744,D2,0.000168418
146,1770505965.723720,D2,0.697673303,0.500704159,0.429638162,D2,0.000168418
147,1770505965.739768,D1,0.695990329,0.499259062,0.430400268,D2,0.000185931
147,1770505965.739768,D2,0.698056134,0.500740938,0.430586199,D2,0.000185931
148,1770505965.755813,D1,0.696540300,0.499352902,0.431319636,D2,0.000200708
148,1770505965.755813,D2,0.698345555,0.500647098,0.431520344,D2,0.000200708
149,1770505965.772082,D1,0.697101016,0.499294008,0.432225961,D2,0.000216858
149,1770505965.772082,D2,0.699072389,0.500705992,0.432442820,D2,0.000216858
150,1770505965.788247,D1,0.697365700,0.499279168,0.433120004,D2,0.000233189
150,1770505965.788247,D2,0.699379337,0.500720832,0.433353193,D2,0.000233189
151,1770505965.806297,D1,0.697918425,0.499326054,0.434002751,D2,0.000248052
151,1770505965.806297,D2,0.699802402,0.500673946,0.434250803,D2,0.000248052
152,1770505965.822433,D1,0.698580135,0.499419239,0.434874971,D2,0.000260231
152,1770505965.822433,D2,0.700204853,0.500580761,0.435135202,D2,0.000260231
153,1770505965.838542,D1,0.698792655,0.499291066,0.435733852,D2,0.000275666
153,1770505965.838542,D2,0.700777060,0.500708934,0.436009519,D2,0.000275666
154,1770505965.854483,D1,0.699005548,0.499254872,0.436580799,D2,0.000291861
154,1770505965.854483,D2,0.701092051,0.500745128,0.436872660,D2,0.000291861
155,1770505965.870443,D1,0.699552344,0.499275736,0.437416732,D2,0.000307283
155,1770505965.870443,D2,0.701581925,0.500724264,0.437724015,D2,0.000307283
156,1770505965.886309,D1,0.700084221,0.499321497,0.438242129,D2,0.000321280
156,1770505965.886309,D2,0.701986841,0.500678503,0.438563408,D2,0.000321280
157,1770505965.902502,D1,0.700748883,0.499297284,0.439056197,D2,0.000335735
157,1770505965.902502,D2,0.702721365,0.500702716,0.439391932,D2,0.000335735
158,1770505965.918495,D1,0.701291627,0.499293911,0.439859367,D2,0.000350087
158,1770505965.918495,D2,0.703275126,0.500706089,0.440209454,D2,0.000350087
159,1770505965.934568,D1,0.701947144,0.499337345,0.440652407,D2,0.000363090
159,1770505965.934568,D2,0.703810207,0.500662655,0.441015497,D2,0.000363090
160,1770505965.950646,D1,0.702317284,0.499277259,0.441434071,D2,0.000377522
160,1770505965.950646,D2,0.704350598,0.500722741,0.441811594,D2,0.000377522
161,1770505965.968609,D1,0.702638133,0.499257838,0.442205055,D2,0.000392280
161,1770505965.968609,D2,0.704727119,0.500742162,0.442597335,D2,0.000392280
162,1770505965.984738,D1,0.702979882,0.499230864,0.442965399,D2,0.000407560
162,1770505965.984738,D2,0.705145962,0.500769136,0.443372959,D2,0.000407560
163,1770505966.000865,D1,0.703519826,0.499240778,0.443715737,D2,0.000422371
163,1770505966.000865,D2,0.705659586,0.500759222,0.444138109,D2,0.000422371
164,1770505966.016954,D1,0.704227670,0.499341089,0.444457409,D2,0.000434311
164,1770505966.016954,D2,0.706086212,0.500658911,0.444891719,D2,0.000434311
165,1770505966.033147,D1,0.704689591,0.499345584,0.445189251,D2,0.000445971
165,1770505966.033147,D2,0.706536649,0.500654416,0.445635222,D2,0.000445971
166,1770505966.049331,D1,0.705156537,0.499370357,0.445911666,D2,0.000456815
166,1770505966.049331,D2,0.706934764,0.500629643,0.446368481,D2,0.000456815
167,1770505966.065567,D1,0.705485463,0.499269590,0.446623105,D2,0.000470202
167,1770505966.065567,D2,0.707549653,0.500730410,0.447093307,D2,0.000470202
168,1770505966.081759,D1,0.706058570,0.499272499,0.447325097,D2,0.000483333
168,1770505966.081759,D2,0.708116196,0.500727501,0.447808429,D2,0.000483333
169,1770505966.097788,D1,0.706437921,0.499168246,0.448016339,D2,0.000499068
169,1770505966.097788,D2,0.708792167,0.500831754,0.448515407,D2,0.000499068
170,1770505966.114126,D1,0.706661583,0.499048174,0.448696763,D2,0.000517796
170,1770505966.114126,D2,0.709357191,0.500951826,0.449214559,D2,0.000517796
171,1770505966.132042,D1,0.706915007,0.498984914,0.449367272,D2,0.000537961
171,1770505966.132042,D2,0.709791165,0.501015086,0.449905233,D2,0.000537961
172,1770505966.148157,D1,0.707176464,0.498926121,0.450028057,D2,0.000559425
172,1770505966.148157,D2,0.710220691,0.501073879,0.450587482,D2,0.000559425
173,1770505966.164324,D1,0.707699856,0.499011434,0.450681168,D2,0.000578328
173,1770505966.164324,D2,0.710503833,0.500988566,0.451259496,D2,0.000578328
174,1770505966.180692,D1,0.708130511,0.498928257,0.451324463,D2,0.000599197
