t=3.51s
ASSEMBLY ID                                                    ACT         FR
a1:L2_3_PYRAMIDAL:169                                       0.1048     0.5988
a1:L2_3_PYRAMIDAL:17                                        0.1051     0.6008
a1:L2_3_PYRAMIDAL:18                                        0.1054     0.6030
a1:L2_3_PYRAMIDAL:19                                        0.1052     0.6014
a1:L2_3_PYRAMIDAL:2                                         0.1048     0.5986
a1:L2_3_PYRAMIDAL:20                                        0.1050     0.6003
a1:L2_3_PYRAMIDAL:21                                        0.1049     0.5993
a1:L2_3_PYRAMIDAL:22                                        0.1049     0.5990
a1:L2_3_PYRAMIDAL:23                                        0.1052     0.6018
a1:L2_3_PYRAMIDAL:24                                        0.1051     0.6009
a1:L2_3_PYRAMIDAL:25                                        0.1052     0.6014
a1:L2_3_PYRAMIDAL:26                                        0.1051     0.6006
a1:L2_3_PYRAMIDAL:27                                        0.1052     0.6015
a1:L2_3_PYRAMIDAL:28                                        0.1052     0.6015
a1:L2_3_PYRAMIDAL:29                                        0.1050     0.5998
a1:L2_3_PYRAMIDAL:3                                         0.1048     0.5980
a1:L2_3_PYRAMIDAL:30                                        0.1051     0.6012
a1:L2_3_PYRAMIDAL:31                                        0.1053     0.6024
a1:L2_3_PYRAMIDAL:32                                        0.1049     0.5996
a1:L2_3_PYRAMIDAL:33                                        0.1052     0.6018
a1:L2_3_PYRAMIDAL:34                                        0.1051     0.6010
a1:L2_3_PYRAMIDAL:35                                        0.1051     0.6005
a1:L2_3_PYRAMIDAL:36                                        0.1049     0.5989
a1:L2_3_PYRAMIDAL:37                                        0.1051     0.6006
a1:L2_3_PYRAMIDAL:38                                        0.1051     0.6011
a1:L2_3_PYRAMIDAL:39                                        0.1051     0.6011
a1:L2_3_PYRAMIDAL:4                                         0.1052     0.6018
a1:L2_3_PYRAMIDAL:40                                        0.1049     0.5995
a1:L2_3_PYRAMIDAL:41                                        0.1049     0.5990
a1:L2_3_PYRAMIDAL:42                                        0.1052     0.6017
a1:L2_3_PYRAMIDAL:43                                        0.1054     0.6029
a1:L2_3_PYRAMIDAL:44                                        0.1048     0.5984
a1:L2_3_PYRAMIDAL:45                                        0.1051     0.6005
a1:L2_3_PYRAMIDAL:46                                        0.1051     0.6005
a1:L2_3_PYRAMIDAL:47                                        0.1049     0.5996
a1:L2_3_PYRAMIDAL:48                                        0.1049     0.5995
a1:L2_3_PYRAMIDAL:49                                        0.1051     0.6009
a1:L2_3_PYRAMIDAL:5                                         0.1048     0.5986
a1:L2_3_PYRAMIDAL:50                                        0.1048     0.5987
a1:L2_3_PYRAMIDAL:51                                        0.1053     0.6027
a1:L2_3_PYRAMIDAL:52                                        0.1050     0.6000
a1:L2_3_PYRAMIDAL:53                                        0.1048     0.5987
a1:L2_3_PYRAMIDAL:54                                        0.1050     0.6000
a1:L2_3_PYRAMIDAL:55                                        0.1049     0.5995
a1:L2_3_PYRAMIDAL:56                                        0.1048     0.5987
a1:L2_3_PYRAMIDAL:57                                        0.1050     0.5999
a1:L2_3_PYRAMIDAL:58                                        0.1051     0.6010
a1:L2_3_PYRAMIDAL:59                                        0.1051     0.6007
a1:L2_3_PYRAMIDAL:6                                         0.1052     0.6013
a1:L2_3_PYRAMIDAL:60                                        0.1050     0.6004
a1:L2_3_PYRAMIDAL:61                                        0.1051     0.6011
a1:L2_3_PYRAMIDAL:62                                        0.1050     0.5996
a1:L2_3_PYRAMIDAL:63                                        0.1051     0.6011
a1:L2_3_PYRAMIDAL:64                                        0.1049     0.5992
a1:L2_3_PYRAMIDAL:65                                        0.1047     0.5979
a1:L2_3_PYRAMIDAL:66                                        0.1052     0.6018
a1:L2_3_PYRAMIDAL:67                                        0.1047     0.5976
a1:L2_3_PYRAMIDAL:68                                        0.1049     0.5991
a1:L2_3_PYRAMIDAL:69                                        0.1050     0.5998
a1:L2_3_PYRAMIDAL:7                                         0.1050     0.5997
a1:L2_3_PYRAMIDAL:70                                        0.1053     0.6022
a1:L2_3_PYRAMIDAL:71                                        0.1050     0.5997
a1:L2_3_PYRAMIDAL:72                                        0.1051     0.6007
a1:L2_3_PYRAMIDAL:73                                        0.1051     0.6012
a1:L2_3_PYRAMIDAL:74                                        0.1047     0.5977
a1:L2_3_PYRAMIDAL:75                                        0.1049     0.5993
a1:L2_3_PYRAMIDAL:76                                        0.1054     0.6028
a1:L2_3_PYRAMIDAL:77                                        0.1052     0.6012
a1:L2_3_PYRAMIDAL:78                                        0.1048     0.5988
a1:L2_3_PYRAMIDAL:79                                        0.1046     0.5966
a1:L2_3_PYRAMIDAL:8                                         0.1049     0.5992
a1:L2_3_PYRAMIDAL:80                                        0.1049     0.5992
a1:L2_3_PYRAMIDAL:81                                        0.1048     0.5985
a1:L2_3_PYRAMIDAL:82                                        0.1048     0.5987
a1:L2_3_PYRAMIDAL:83                                        0.1052     0.6014
a1:L2_3_PYRAMIDAL:84                                        0.1047     0.5973
a1:L2_3_PYRAMIDAL:85                                        0.1049     0.5996
a1:L2_3_PYRAMIDAL:86                                        0.1049     0.5992
a1:L2_3_PYRAMIDAL:87                                        0.1051     0.6010
a1:L2_3_PYRAMIDAL:88                                        0.1052     0.6012
a1:L2_3_PYRAMIDAL:89                                        0.1049     0.5995
a1:L2_3_PYRAMIDAL:9                                         0.1048     0.5984
a1:L2_3_PYRAMIDAL:90                                        0.1048     0.5987
a1:L2_3_PYRAMIDAL:91                                        0.1049     0.5991
a1:L2_3_PYRAMIDAL:92                                        0.1050     0.5999
a1:L2_3_PYRAMIDAL:93                                        0.1053     0.6021
a1:L2_3_PYRAMIDAL:94                                        0.1053     0.6026
a1:L2_3_PYRAMIDAL:95                                        0.1049     0.5991
a1:L2_3_PYRAMIDAL:96                                        0.1047     0.5980
a1:L2_3_PYRAMIDAL:97                                        0.1051     0.6009
a1:L2_3_PYRAMIDAL:98                                        0.1049     0.5994
a1:L2_3_PYRAMIDAL:99                                        0.1052     0.6017
a1:L4_EXCITATORY:0                                          0.1550     0.9999
a1:L4_EXCITATORY:1                                          0.1553     1.0025
a1:L4_EXCITATORY:10                                         0.1551     1.0004
a1:L4_EXCITATORY:100                                        0.1549     0.9994
a1:L4_EXCITATORY:101                                        0.1550     0.9999
a1:L4_EXCITATORY:102                                        0.1551     1.0010
a1:L4_EXCITATORY:103                                        0.1552     1.0015
a1:L4_EXCITATORY:104                                        0.1551     1.0011
a1:L4_EXCITATORY:105                                        0.1549     0.9992
a1:L4_EXCITATORY:106                                        0.1545     0.9959
a1:L4_EXCITATORY:107                                        0.1551     1.0006
a1:L4_EXCITATORY:108                                        0.1549     0.9992
a1:L4_EXCITATORY:109                                        0.1553     1.0026
a1:L4_EXCITATORY:11                                         0.1549     0.9994
a1:L4_EXCITATORY:110                                        0.1552     1.0016
a1:L4_EXCITATORY:111                                        0.1551     1.0010
a1:L4_EXCITATORY:112                                        0.1549     0.9994
a1:L4_EXCITATORY:113                                        0.1548     0.9985
a1:L4_EXCITATORY:114                                        0.1550     1.0003
a1:L4_EXCITATORY:115                                        0.1552     1.0020
a1:L4_EXCITATORY:116                                        0.1552     1.0014
a1:L4_EXCITATORY:117                                        0.1551     1.0007
a1:L4_EXCITATORY:118                                        0.1548     0.9981
a1:L4_EXCITATORY:119                                        0.1550     1.0003
a1:L4_EXCITATORY:12                                         0.1547     0.9979
a1:L4_EXCITATORY:120                                        0.1552     1.0014
a1:L4_EXCITATORY:121                                        0.1551     1.0005
a1:L4_EXCITATORY:122                                        0.1550     1.0000
a1:L4_EXCITATORY:123                                        0.1550     0.9998
a1:L4_EXCITATORY:124                                        0.1550     0.9999
a1:L4_EXCITATORY:125                                        0.1548     0.9984
a1:L4_EXCITATORY:126                                        0.1549     0.9990
a1:L4_EXCITATORY:127                                        0.1550     1.0002
a1:L4_EXCITATORY:128                                        0.1552     1.0018
a1:L4_EXCITATORY:129                                        0.1550     0.9997
a1:L4_EXCITATORY:13                                         0.1551     1.0006
a1:L4_EXCITATORY:130                                        0.1550     1.0001
a1:L4_EXCITATORY:131                                        0.1549     0.9992
a1:L4_EXCITATORY:132                                        0.1550     1.0002
a1:L4_EXCITATORY:133                                        0.1550     1.0003
a1:L4_EXCITATORY:134                                        0.1548     0.9987
a1:L4_EXCITATORY:135                                        0.1550     0.9998
a1:L4_EXCITATORY:136                                        0.1548     0.9987
a1:L4_EXCITATORY:137                                        0.1552     1.0019
a1:L4_EXCITATORY:138                                        0.1548     0.9981
a1:L4_EXCITATORY:139                                        0.1551     1.0006
a1:L4_EXCITATORY:14                                         0.1550     1.0003
a1:L4_EXCITATORY:140                                        0.1550     1.0004
a1:L4_EXCITATORY:141                                        0.1549     0.9993
a1:L4_EXCITATORY:142                                        0.1550     1.0002
a1:L4_EXCITATORY:143                                        0.1553     1.0020
a1:L4_EXCITATORY:144                                        0.1552     1.0018
a1:L4_EXCITATORY:145                                        0.1548     0.9986
a1:L4_EXCITATORY:146                                        0.1553     1.0022
a1:L4_EXCITATORY:147                                        0.1550     1.0003
a1:L4_EXCITATORY:148                                        0.1552     1.0016
a1:L4_EXCITATORY:149                                        0.1549     0.9995
a1:L4_EXCITATORY:15                                         0.1552     1.0019
a1:L4_EXCITATORY:16                                         0.1552     1.0016
a1:L4_EXCITATORY:17                                         0.1547     0.9979
a1:L4_EXCITATORY:18                                         0.1550     1.0000
