step,time,channel,effective_output,inst_dominance,smooth_dominance,winner,delta
72,1770762892.255165,D1,0.478109190,0.419725076,0.260603417,D2,0.098364830
72,1770762892.255165,D2,0.660991658,0.580274924,0.358968248,D2,0.098364830
73,1770762892.347891,D1,0.478572231,0.419693748,0.262724622,D2,0.099194799
73,1770762892.347891,D2,0.661716929,0.580306252,0.361919421,D2,0.099194799
74,1770762892.445233,D1,0.479032962,0.419714487,0.264817820,D2,0.100013149
74,1770762892.445233,D2,0.662297578,0.580285513,0.364830969,D2,0.100013149
75,1770762892.535508,D1,0.479324857,0.419670575,0.266882523,D2,0.100821758
75,1770762892.535508,D2,0.662820639,0.580329425,0.367704282,D2,0.100821758
76,1770762892.624923,D1,0.479808447,0.419808186,0.268921532,D2,0.101615917
76,1770762892.624923,D2,0.663114590,0.580191814,0.370537449,D2,0.101615917
77,1770762892.719704,D1,0.480073867,0.419851826,0.270933936,D2,0.102398322
77,1770762892.719704,D2,0.663362550,0.580148174,0.373332258,D2,0.102398322
78,1770762892.812559,D1,0.480353030,0.419830095,0.272919218,D2,0.103170875
78,1770762892.812559,D2,0.663807514,0.580169905,0.376090094,D2,0.103170875
79,1770762892.904595,D1,0.480628404,0.419791147,0.274877511,D2,0.103934167
79,1770762892.904595,D2,0.664294273,0.580208853,0.378811677,D2,0.103934167
80,1770762892.997743,D1,0.480928195,0.419788965,0.276809663,D2,0.104687339
80,1770762892.997743,D2,0.664714580,0.580211035,0.381497002,D2,0.104687339
81,1770762893.110625,D1,0.481023823,0.419708442,0.278714980,D2,0.105432616
81,1770762893.110625,D2,0.665066595,0.580291558,0.384147596,D2,0.105432616
82,1770762893.201632,D1,0.481196363,0.419597764,0.280593418,D2,0.106170907
82,1770762893.201632,D2,0.665607561,0.580402236,0.386764325,D2,0.106170907
83,1770762893.293698,D1,0.481547874,0.419595710,0.282446781,D2,0.106899409
83,1770762893.293698,D2,0.666099402,0.580404290,0.389346191,D2,0.106899409
84,1770762893.382609,D1,0.481870465,0.419487990,0.284273998,D2,0.107621071
84,1770762893.382609,D2,0.666840527,0.580512010,0.391895068,D2,0.107621071
85,1770762893.479423,D1,0.482453450,0.419630245,0.286078748,D2,0.108329317
85,1770762893.479423,D2,0.667257409,0.580369755,0.394408064,D2,0.108329317
86,1770762893.568705,D1,0.482750274,0.419662161,0.287859860,D2,0.109027268
86,1770762893.568705,D2,0.667580440,0.580337839,0.396887128,D2,0.109027268
87,1770762893.659476,D1,0.483146799,0.419587242,0.289616225,D2,0.109717911
87,1770762893.659476,D2,0.668334347,0.580412758,0.399334136,D2,0.109717911
88,1770762893.751815,D1,0.483540449,0.419692714,0.291350578,D2,0.110396534
88,1770762893.751815,D2,0.668589269,0.580307286,0.401747112,D2,0.110396534
89,1770762893.844120,D1,0.483670649,0.419520966,0.293059517,D2,0.111070687
89,1770762893.844120,D2,0.669241096,0.580479034,0.404130204,D2,0.111070687
