
LIVE RUNTIME
Keyboard + TCP input enabled (port 5557)
Ctrl+C to quit | type 'help' for commands
--------------------------------------------------------------------------------
[CMD] Listening on 127.0.0.1:5557

--------------------------------------------------------------------------------
t=1.00s | state=awake
ASSEMBLY ID                                                    ACT         FR
v1:L2_3_PYRAMIDAL:0                                         0.0169     0.0171
v1:L2_3_PYRAMIDAL:1                                         0.0168     0.0169
v1:L4_EXCITATORY:0                                          0.0168     0.0169
v1:L4_EXCITATORY:1                                          0.0167     0.0167
v1:L5_PYRAMIDAL:0                                           0.0170     0.0173
v1:L6_PYRAMIDAL:0                                           0.0170     0.0173
vpl:RELAY_CELLS:0                                           0.0139     0.0098
vpm:RELAY_CELLS:0                                           0.0142     0.0104
--------------------------------------------------------------------------------
last: Ready.
> 
--------------------------------------------------------------------------------
t=4.01s | state=awake
ASSEMBLY ID                                                    ACT         FR
--------------------------------------------------------------------------------
Intralaminar:RELAY_NEURONS:0                                0.0143     0.0108
a1:INTERNEURONS:0                                           0.0155     0.0136
a1:L2_3_PYRAMIDAL:0                                         0.0153     0.0131
a1:L2_3_PYRAMIDAL:1                                         0.0156     0.0139
a1:L4_EXCITATORY:0                                          0.0154     0.0133
a1:L4_EXCITATORY:1                                          0.0154     0.0134
a1:L6_PYRAMIDAL:0                                           0.0151     0.0127
association_cortex:INTERNEURONS:GLOBAL_NORMALIZATION_UNITS:0     0.0188     0.0217
association_cortex:INTERNEURONS:LOCAL_COMPETITION_UNITS:0     0.0192     0.0227
association_cortex:INTERNEURONS:TEMPORAL_GATING_UNITS:0     0.0192     0.0229
association_cortex:L2_3_PYRAMIDAL:ABSTRACTION_UNITS:0       0.0191     0.0226
association_cortex:L2_3_PYRAMIDAL:FEATURE_BINDING_UNITS:0     0.0190     0.0223
association_cortex:L2_3_PYRAMIDAL:TRANSIENT_REPRESENTATION_UNITS:0     0.0191     0.0225
association_cortex:L5_PYRAMIDAL:COMPETITIVE_SELECTION_UNITS:0     0.0191     0.0225
association_cortex:L5_PYRAMIDAL:STABLE_PATTERN_UNITS:0      0.0192     0.0229
